id,filename,uri,width,height,mimeType,capturedAt,source,tags,downloadedAt,notes
asset-001,photo_001.jpg,https://i.pinimg.com/736x/75/47/03/754703572d0a9a1389d764e6d1043dd4.jpg,,,,,,,2026-08-30T13:37:42.152161Z,
asset-002,photo_002.jpg,https://i.pinimg.com/736x/75/47/03/754703572d0a9a1389d764e6d1043dd4.jpg,,,,,,,2026-08-30T13:37:42.789512Z,
asset-003,photo_003.jpg,https://i.pinimg.com/736x/89/af/6f/89af6f68916b91f137f8ff6d51e17c7e.jpg,,,,,,,2026-08-30T13:37:43.434810Z,
